frame,DetObj#,x,y,z,v,snr,noise
11,2,0.8780514001846313,3.135270595550537,1.3170771598815918,-0.8567987680435181,301,495
11,3,0.7181887626647949,2.912782907485962,1.333779215812683,-0.7139989733695984,157,452
11,4,0.9066835641860962,3.1326539516448975,1.5866962671279907,-0.7139989733695984,135,572
11,5,3.0183019638061523,2.2691879272460938,1.83722722530365,-0.7139989733695984,202,500
11,6,3.505047559738159,2.1229825019836426,1.348095178604126,-0.5711991786956787,53,532
11,7,1.0784761905670166,3.2993924617767334,-2.5613808631896973,-0.5711991786956787,53,532
11,8,-3.877264976501465,2.352065324783325,2.0161778926849365,-0.42839938402175903,62,527
11,9,2.433729410171509,2.5174691677093506,1.7036106586456299,-0.28559958934783936,122,493
11,10,1.674978494644165,1.173829197883606,-0.2576889991760254,-0.14279979467391968,131,438
11,11,-0.5821862816810608,4.278177738189697,-1.7465589046478271,-0.14279979467391968,266,479
11,12,-0.5965023040771484,4.089413642883301,-2.3860092163085938,-0.14279979467391968,115,517
12,0,0.715802788734436,3.46587872505188,1.431605577468872,-1.8563973903656006,156,450
12,1,0.6370644569396973,3.1263794898986816,1.1679515838623047,-1.2851982116699219,271,460
12,2,2.433729410171509,2.729142904281616,1.3385511636734009,-1.1423983573913574,82,517
12,3,-3.757964849472046,2.751281976699829,1.2025487422943115,-1.1423983573913574,96,460
12,4,3.3809750080108643,1.9592125415802002,1.4304125308990479,-0.9995985627174377,205,462
12,5,3.2807629108428955,2.095583438873291,1.5747661590576172,-0.8567987680435181,204,477
12,6,0.7181887626647949,2.9982616901397705,1.1285823583602905,-0.7139989733695984,178,456
12,7,0.8589633703231812,3.019763469696045,1.3958154916763306,-0.7139989733695984,331,505
12,8,0.8875954747200012,3.120422124862671,1.4423426389694214,-0.5711991786956787,127,543
12,9,3.0922679901123047,1.9240586757659912,1.9326674938201904,-0.5711991786956787,258,504
12,10,1.6105562448501587,1.2803668975830078,-0.1288444995880127,-0.14279979467391968,110,449
12,11,0.7682949900627136,3.116000175476074,1.4268335103988647,-0.14279979467391968,197,449
12,12,-0.5774142742156982,4.2431111335754395,-1.7322428226470947,-0.14279979467391968,280,480
13,0,0.8398752808570862,2.7855513095855713,1.6797505617141724,0.0,209,418
13,1,0.5666772127151489,3.3981738090515137,1.1333544254302979,-2.1419968605041504,81,454
13,2,0.6800127029418945,3.2925846576690674,1.360025405883789,-1.4279979467391968,93,463
13,3,0.6155903935432434,3.02099609375,1.1285823583602905,-1.1423983573913574,181,467
13,4,3.1912875175476074,2.038430690765381,1.53181791305542,-0.9995985627174377,108,460
13,5,1.9875458478927612,2.9461514949798584,1.169144630432129,-0.8567987680435181,52,508
13,6,0.8184012174606323,1.8337316513061523,3.1566903591156006,-0.8567987680435181,52,508
13,7,0.6847847104072571,2.8200480937957764,1.1739165782928467,-0.7139989733695984,128,459
13,8,0.9770708084106445,2.9090137481689453,1.6284513473510742,-0.7139989733695984,173,527
13,9,0.8398752808570862,2.901826858520508,1.469781756401062,-0.5711991786956787,301,486
13,10,3.06363582611084,2.026404857635498,1.7871209383010864,-0.5711991786956787,203,506
13,11,0.9878078103065491,3.0535178184509277,1.4268335103988647,-0.28559958934783936,74,459
13,12,-0.4437977075576782,4.157931804656982,-2.2189886569976807,-0.28559958934783936,158,513
13,13,1.454272747039795,1.3838396072387695,-0.25291699171066284,-0.14279979467391968,101,447
13,14,1.009281873703003,3.119898557662964,1.4578516483306885,-0.14279979467391968,87,460
13,15,-0.5774142742156982,4.2431111335754395,-1.7322428226470947,-0.14279979467391968,290,462
14,0,0.6764336228370667,2.7856571674346924,1.1596004962921143,-0.8567987680435181,165,467
14,1,0.8207871913909912,2.9307963848114014,1.2311807870864868,-0.7139989733695984,268,506
14,2,3.0063719749450684,1.8706125020980835,1.878982424736023,-0.5711991786956787,237,503
14,3,0.6108183860778809,3.8842239379882812,2.9013872146606445,-0.42839938402175903,62,542
14,4,-0.5774142742156982,4.2431111335754395,-1.7322428226470947,-0.14279979467391968,272,478
15,0,0.5941163301467896,2.8766794204711914,1.188232660293579,-1.2851982116699219,196,462
15,1,0.709837794303894,2.9633982181549072,1.1154593229293823,-0.8567987680435181,315,490
15,2,0.8303312659263611,4.074831962585449,1.5222740173339844,-0.8567987680435181,69,483
15,3,0.753978967666626,2.6922433376312256,1.130968451499939,-0.7139989733695984,122,449
15,4,3.1018121242523193,1.981278657913208,1.4888697862625122,-0.28559958934783936,107,485
15,5,-0.7217678427696228,4.090583801269531,-2.0209498405456543,-0.28559958934783936,216,485
15,6,-0.6012743711471558,4.476870536804199,1.653504490852356,-0.28559958934783936,70,541
15,7,0.5547471642494202,3.1964223384857178,1.4423426389694214,-0.14279979467391968,53,482
15,8,0.6656966209411621,2.690380573272705,-2.2189886569976807,-0.14279979467391968,53,482
15,9,-0.5965023040771484,4.441339015960693,-1.6403813362121582,-0.14279979467391968,74,537
16,0,0.7730669975280762,2.5031588077545166,1.6427674293518066,0.0,176,424
16,1,0.734890878200531,2.5835752487182617,1.194197654724121,-0.9995985627174377,218,460
16,2,0.6012743711471558,3.0461931228637695,0.801699161529541,-0.9995985627174377,263,498
16,3,0.6764336228370667,2.7856571674346924,1.1596004962921143,-0.8567987680435181,315,492
16,4,0.6299064755439758,3.049973487854004,1.2598129510879517,-0.8567987680435181,131,519
16,5,-3.5790138244628906,2.386963367462158,1.5747660398483276,-0.8567987680435181,97,506
16,6,2.2428486347198486,2.5670578479766846,1.1214243173599243,-0.7139989733695984,61,586
16,7,0.7849970459938049,1.7588852643966675,-3.027845859527588,-0.7139989733695984,61,586
16,8,-3.6911563873291016,2.1389567852020264,1.5616430044174194,-0.7139989733695984,95,516
16,9,0.2982511520385742,4.121912956237793,2.3860092163085938,-0.7139989733695984,162,485
16,10,1.7537168264389038,2.9921882152557373,1.4029735326766968,-0.5711991786956787,65,485
16,11,1.653504490852356,4.309715747833252,-1.3528673648834229,-0.28559958934783936,48,535
16,12,-1.653504490852356,3.914060592651367,-2.2547788619995117,-0.28559958934783936,48,535
16,13,-1.0522301197052002,4.030669212341309,2.405097484588623,-0.28559958934783936,48,535
16,14,0.7766460180282593,3.149869918823242,1.4423426389694214,-0.14279979467391968,104,474
16,15,2.0221428871154785,3.3836920261383057,1.7525237798690796,-0.14279979467391968,47,476
16,16,1.617714285850525,1.6565672159194946,-3.639857053756714,-0.14279979467391968,47,476
16,17,-0.5630981922149658,4.192624092102051,-1.5485200881958008,-0.14279979467391968,180,492
16,18,-0.7217678427696228,4.158786296844482,-1.876596450805664,-0.14279979467391968,236,502
17,0,0.7635229825973511,2.4722554683685303,1.6224863529205322,0.0,187,436
17,1,-0.15031859278678894,4.655025005340576,-1.2025487422943115,0.14279979467391968,77,482
17,2,0.6179764270782471,2.506348133087158,1.1476705074310303,-0.9995985627174377,204,464
17,3,0.6263274550437927,2.5793120861053467,1.0737042427062988,-0.8567987680435181,200,453
17,4,0.753978967666626,2.6922433376312256,1.130968451499939,-0.8567987680435181,346,502
17,5,0.6227484345436096,3.056123971939087,1.1417055130004883,-0.7139989733695984,77,529
17,6,0.759943962097168,3.172579050064087,1.194197654724121,-0.7139989733695984,66,538
17,7,0.759943962097168,2.405604839324951,-2.388395309448242,-0.7139989733695984,66,538
17,8,-2.992055654525757,2.706415891647339,1.6320302486419678,-0.7139989733695984,48,507
17,9,0.0,3.809084177017212,2.8107190132141113,-0.7139989733695984,93,492
17,10,2.743910789489746,1.712283968925476,2.0281078815460205,-0.5711991786956787,106,498
17,11,1.7895070314407349,2.858236074447632,-1.7895070314407349,-0.5711991786956787,106,498
17,12,2.2189886569976807,2.4883363246917725,1.2204437255859375,-0.42839938402175903,136,504
17,13,0.8875954747200012,2.3033699989318848,-2.5518369674682617,-0.42839938402175903,136,504
17,14,0.5917302966117859,4.675699234008789,-0.4437977075576782,-0.42839938402175903,56,552
17,15,0.5965023040771484,4.725186824798584,-0.2982511520385742,-0.28559958934783936,49,561
17,16,-0.5726422071456909,4.263685703277588,-1.5747660398483276,-0.14279979467391968,335,492
18,0,0.734890878200531,2.437357187271118,1.469781756401062,0.0,212,436
18,1,0.734890878200531,2.9301748275756836,1.469781756401062,-1.8563973903656006,110,458
18,2,0.7444348931312561,2.5227861404418945,1.395815372467041,-1.2851982116699219,298,450
18,3,0.8184012174606323,3.416623830795288,1.286059021949768,-1.1423983573913574,64,466
18,4,0.687170684337616,2.4536900520324707,1.0307559967041016,-0.9995985627174377,183,465
18,5,2.46951961517334,1.6599065065383911,1.7179267406463623,-0.9995985627174377,114,479
18,6,0.7515929341316223,2.1447224617004395,-2.576889991760254,-0.9995985627174377,114,479
18,7,1.2132856845855713,3.53344988822937,2.156952381134033,-0.9995985627174377,63,496
18,8,-0.4437977075576782,4.423159122467041,-1.62725830078125,-0.9995985627174377,102,465
18,9,0.6967146992683411,2.4493634700775146,1.1321613788604736,-0.8567987680435181,189,458
18,10,0.6513805389404297,2.719353437423706,1.0235979557037354,-0.8567987680435181,327,524
18,11,0.693135678768158,2.8544387817382812,1.188232660293579,-0.8567987680435181,136,504
18,12,0.8768584728240967,3.7054033279418945,1.2526549100875854,-0.8567987680435181,89,489
18,13,0.7623299956321716,2.3150522708892822,1.1858466863632202,-0.7139989733695984,187,465
18,14,1.3600252866744995,3.515079975128174,2.1760404109954834,-0.7139989733695984,89,517
18,15,2.4146413803100586,2.114058017730713,1.4268335103988647,-0.5711991786956787,47,556
18,16,2.863211154937744,1.9927109479904175,1.5509060621261597,-0.42839938402175903,139,483
18,17,0.6513805389404297,2.597200393676758,1.3027610778808594,-0.28559958934783936,153,450
18,18,-0.42590266466140747,4.294371604919434,-1.4196754693984985,-0.14279979467391968,322,476
18,19,-0.5821862816810608,4.334747314453125,-1.6010122299194336,-0.14279979467391968,166,530
19,0,0.8160151243209839,2.2558023929595947,1.6320302486419678,0.0,137,428
19,1,0.782611072063446,1.4868323802947998,-2.64131236076355,2.1419968605041504,143,458
19,2,0.880437433719635,2.963994026184082,0.4891319274902344,2.1419968605041504,143,458
19,3,-0.5726422071456909,4.263685703277588,-1.5747660398483276,-1.2851982116699219,135,451
19,4,0.7945411205291748,2.3655717372894287,1.324235200881958,-1.1423983573913574,188,457
19,5,1.0403000116348267,3.5254316329956055,1.9505624771118164,-0.9995985627174377,51,476
19,6,-0.4330607056617737,4.260264873504639,-1.7322428226470947,-0.9995985627174377,115,471
19,7,0.6776266694068909,2.3822576999664307,1.1011433601379395,-0.8567987680435181,241,457
19,8,1.2132856845855713,3.53344988822937,2.156952381134033,-0.8567987680435181,94,502
19,9,0.643029510974884,2.607956886291504,1.194197654724121,-0.7139989733695984,198,553
19,10,0.7181887626647949,2.2734289169311523,-2.257164716720581,-0.7139989733695984,79,516
19,11,0.715802788734436,2.4731478691101074,1.2526549100875854,-0.5711991786956787,268,473
19,12,2.362149238586426,1.9914246797561646,1.5031858682632446,-0.5711991786956787,67,539
19,13,1.0737042427062988,2.1339449882507324,-2.46951961517334,-0.5711991786956787,67,539
19,14,0.8351032733917236,2.2078967094421387,1.2526549100875854,-0.42839938402175903,195,447
19,15,2.8059470653533936,1.855959415435791,1.6368024349212646,-0.42839938402175903,84,512
19,16,1.519887924194336,2.694110870361328,-2.1044602394104004,-0.42839938402175903,84,512
19,17,0.826752245426178,2.4077489376068115,1.469781756401062,-0.28559958934783936,156,489
19,18,-0.42232364416122437,4.302268981933594,-1.2669708728790283,-0.28559958934783936,242,500
19,19,1.2025487422943115,1.9546414613723755,3.6076459884643555,-0.14279979467391968,60,472
19,20,-0.4294816553592682,4.375188827514648,-1.288444995880127,-0.14279979467391968,238,503
20,0,0.6967146992683411,2.1314659118652344,1.6546974182128906,0.0,136,445
20,1,0.6967146992683411,2.4071972370147705,-1.2192506790161133,0.0,136,445
20,2,0.6346784830093384,2.431196928024292,1.4506936073303223,0.0,119,433
20,3,0.9066835045814514,1.5678023099899292,-2.2667088508605957,1.9991971254348755,102,448
20,4,0.9066835045814514,2.6820061206817627,0.6346784830093384,1.9991971254348755,102,448
20,5,0.8398752808570862,2.7855513095855713,1.6797505617141724,-1.5707976818084717,137,456
20,6,1.0844411849975586,3.2286853790283203,1.8074021339416504,-1.1423983573913574,72,447
20,7,0.6585385799407959,2.3151519298553467,1.0701252222061157,-0.8567987680435181,273,464
20,8,1.1918116807937622,3.3865227699279785,2.251199722290039,-0.8567987680435181,112,487
20,9,0.6967146992683411,2.4493634700775146,1.1321613788604736,-0.7139989733695984,320,538
20,10,2.362149238586426,1.9914246797561646,1.5031858682632446,-0.7139989733695984,84,513
20,11,1.3958154916763306,2.3864269256591797,-2.0400381088256836,-0.7139989733695984,84,513
20,12,-0.5583261847496033,4.157093524932861,-1.5353970527648926,-0.5711991786956787,205,506
20,13,0.8231732249259949,2.074331045150757,1.3993945121765137,-0.42839938402175903,248,459
20,14,0.668082594871521,2.3649191856384277,-1.8133671283721924,-0.42839938402175903,78,507
20,15,0.5726422071456909,2.772702932357788,1.1452844142913818,-0.42839938402175903,78,507
20,16,1.878982424736023,3.001147985458374,1.878982424736023,-0.28559958934783936,56,480
20,17,-0.41874462366104126,4.222197532653809,-1.3958154916763306,-0.28559958934783936,194,506
20,18,-0.5678701996803284,4.172976493835449,-1.7036106586456299,-0.28559958934783936,212,508
21,0,0.687170684337616,2.2250301837921143,1.460237741470337,0.0,211,456
21,1,-0.2839350998401642,4.389530181884766,-1.1357403993606567,0.0,161,465
21,2,0.7193818092346191,2.184626579284668,1.1190383434295654,-0.9995985627174377,255,448
21,3,1.0307559967041016,3.337545156478882,2.190356492996216,-0.9995985627174377,86,457
21,4,0.687170684337616,2.4158105850219727,1.1166523694992065,-0.8567987680435181,318,531
21,5,0.687170684337616,2.0458996295928955,1.1452844142913818,-0.7139989733695984,174,457
